ISYS6004,Green Information Technology and Sustainability,Postgraduate Unit, https://handbook.curtin.edu.au/units/unit-pg-green-information-technology-and-sustainability--isys6004v2
ISYS3012,Advanced Business Technologies,Undergraduate Unit, https://handbook.curtin.edu.au/units/unit-ug-advanced-business-technologies--isys3012v1
ISYS6009,Enterprise Network Security,Postgraduate Unit, https://handbook.curtin.edu.au/units/unit-pg-enterprise-network-security--isys6009v1
ISYS6011,Computer Forensics,Postgraduate Unit, https://handbook.curtin.edu.au/units/unit-pg-computer-forensics--isys6011v1
ISYS6013,Data Mining and Business Intelligence,Postgraduate Unit, https://handbook.curtin.edu.au/units/unit-pg-data-mining-and-business-intelligence--isys6013v1
ISAD5004,Introduction to Software Engineering,Postgraduate Unit, https://handbook.curtin.edu.au/units/unit-pg-introduction-to-software-engineering--isad5004v1
COMP4000,Computer Science Honours Dissertation,Undergraduate Thesis, https://handbook.curtin.edu.au/units/unit-ug-computer-science-honours-dissertation--comp4000v1
ISYS2001,Business Application Design,Undergraduate Unit, https://handbook.curtin.edu.au/units/unit-ug-business-application-design--isys2001v1
ISYS6000,Master Thesis - Information Systems,Masters Thesis, https://handbook.curtin.edu.au/units/unit-pg-master-thesis---information-systems--isys6000v1
COMP6000,Master Thesis - Computing,Masters Thesis, https://handbook.curtin.edu.au/units/unit-pg-master-thesis---computing--comp6000v1
ICTE2002,UX Design 2,Undergraduate Unit, https://handbook.curtin.edu.au/units/unit-ug-ux-design-2--icte2002v3
COMP7000,Doctoral Thesis - Computing,Doctoral Thesis, https://handbook.curtin.edu.au/units/unit-pg-doctoral-thesis---computing--comp7000v1
ICTE5003,Programming for Visualisation Technologies,Postgraduate Unit, https://handbook.curtin.edu.au/units/unit-pg-programming-for-visualisation-technologies--icte5003v1
COMP0002,Computer Productivity,Bridging Unit, https://handbook.curtin.edu.au/units/unit-brg-computer-productivity--comp0002v1
COMP0003,Introduction to Programming (Dubai Foundation),Bridging Unit, https://handbook.curtin.edu.au/units/unit-brg-introduction-to-programming-dubai-foundation--comp0003v1
ISAD1000,Introduction to Software Engineering,Undergraduate Unit, https://handbook.curtin.edu.au/units/unit-ug-introduction-to-software-engineering--isad1000v1
ICTE3002,Human Computer Interface,Undergraduate Unit, https://handbook.curtin.edu.au/units/unit-ug-human-computer-interface--icte3002v1
COMP2003,Object Oriented Software Engineering,Undergraduate Unit, https://handbook.curtin.edu.au/units/unit-ug-object-oriented-software-engineering--comp2003v1
COMP0004,Fundamentals of Information Technology,Bridging Unit, https://handbook.curtin.edu.au/units/unit-brg-fundamentals-of-information-technology--comp0004v1
COMP3001,Design and Analysis of Algorithms,Undergraduate Unit, https://handbook.curtin.edu.au/units/unit-ug-design-and-analysis-of-algorithms--comp3001v1
ISEC2000,Fundamental Concepts of Cryptography,Undergraduate Unit, https://handbook.curtin.edu.au/units/unit-ug-fundamental-concepts-of-cryptography--isec2000v1
ISEC3000,Information Security Topics,Undergraduate Unit, https://handbook.curtin.edu.au/units/unit-ug-information-security-topics--isec3000v1
ISYS6014,Knowledge Management and Intelligent Systems,Postgraduate Unit, https://handbook.curtin.edu.au/units/unit-pg-knowledge-management-and-intelligent-systems--isys6014v1
ICTE5005,Industrial Automation and Robotics,Postgraduate Unit, https://handbook.curtin.edu.au/units/unit-pg-industrial-automation-and-robotics--icte5005v1
ISEC3006,Cyber Security Capstone Project 1,Undergraduate Unit, https://handbook.curtin.edu.au/units/unit-ug-cyber-security-capstone-project-1--isec3006v1
ISEC3007,Cyber Security Capstone Project 2,Undergraduate Unit, https://handbook.curtin.edu.au/units/unit-ug-cyber-security-capstone-project-2--isec3007v1
ISEC4002,Extended Cyber Security - Intrusion Detection System and Incident Handling,Undergraduate Unit, https://handbook.curtin.edu.au/units/unit-ug-extended-cyber-security---intrusion-detection-system-and-incident-handling--isec4002v1
CNCO6001,Data Network Security,Postgraduate Unit, https://handbook.curtin.edu.au/units/unit-pg-data-network-security--cnco6001v1
ISEC6003,Ethical Hacking,Postgraduate Unit, https://handbook.curtin.edu.au/units/unit-pg-ethical-hacking--isec6003v1
CNCO6000,Broadband Networks,Postgraduate Unit, https://handbook.curtin.edu.au/units/unit-pg-broadband-networks--cnco6000v1
ISAD5000,Advanced Optimisation Techniques,Postgraduate Unit, https://handbook.curtin.edu.au/units/unit-pg-advanced-optimisation-techniques--isad5000v1
COMP3005,Computer Project 2,Undergraduate Unit, https://handbook.curtin.edu.au/units/unit-ug-computer-project-2--comp3005v1
ISEC6002,Advanced Cyber Security Practices,Postgraduate Unit, https://handbook.curtin.edu.au/units/unit-pg-advanced-cyber-security-practices--isec6002v1
ISYS6001,Enterprise Network Management,Postgraduate Unit, https://handbook.curtin.edu.au/units/unit-pg-enterprise-network-management--isys6001v1
ISYS6012,Cyberwarfare,Postgraduate Unit, https://handbook.curtin.edu.au/units/unit-pg-cyberwarfare--isys6012v1
ICTE2001,Programming for Visualisation Technologies,Undergraduate Unit, https://handbook.curtin.edu.au/units/unit-ug-programming-for-visualisation-technologies--icte2001v1
ISYS4001,Information Systems Honours Dissertation,Undergraduate Thesis, https://handbook.curtin.edu.au/units/unit-ug-information-systems-honours-dissertation--isys4001v1
COMP4002,Extended Distributed Computing,Undergraduate Unit, https://handbook.curtin.edu.au/units/unit-ug-extended-distributed-computing--comp4002v2
COMP3004,Computer Project 1,Undergraduate Unit, https://handbook.curtin.edu.au/units/unit-ug-computer-project-1--comp3004v1
